id,user_text,disease_label,symptoms_list
1,I have a runny nose and keep sneezing all day.,common_cold,"['runny nose', 'sneezing']"
2,My throat feels sore and I'm coughing a little.,common_cold,"['throat', 'sore', 'coughing']"
3,Mild headache and stuffy nose since morning.,common_cold,"['mild', 'headache', 'stuffy', 'nose']"
4,I’m sneezing frequently and have a light fever.,common_cold,"['sneezing', 'light']"
5,My nose is blocked and throat hurts mildly.,common_cold,"['nose', 'blocked', 'throat']"
6,I’m coughing lightly and have slight headache.,common_cold,"['coughing', 'slight']"
7,Feeling a bit feverish with sore throat.,common_cold,"['feverish', 'sore']"
8,My nose keeps running and I can't stop sneezing.,common_cold,['nose']
9,Mild cough and sore throat for two days.,common_cold,"['mild', 'cough', 'sore', 'throat', 'two']"
10,I woke up with stuffy nose and headache.,common_cold,"['woke', 'stuffy', 'nose']"
11,Slight fever and constant sneezing.,common_cold,"['slight', 'fever', 'constantnee']"
12,Sore throat and runny nose since yesterday.,common_cold,"['sore', 'throat', 'runny', 'nose']"
13,Having mild coughing along with sneezing.,common_cold,"['mild', 'coughing']"
14,Feeling uncomfortable due to nasal congestion.,common_cold,"['uncomfortable', 'nasal']"
15,My throat is itchy and I'm sneezing.,common_cold,"['throat', 'itchy', 'snee']"
16,Light fever and headache today.,common_cold,"['light', 'fever', 'headache']"
17,Nose is runny and throat slightly sore.,common_cold,"['nose', 'runny', 'throat']"
18,Barely coughing but sneezing a lot.,common_cold,"['coughing', 'sneezing']"
19,Mild headache and blocked nose.,common_cold,"['mild', 'headache']"
20,I’m having flu-like symptoms but mild and mostly sneezing.,common_cold,"['flu - like symptoms', 'mild']"
21,I have high fever and body aches since last night.,flu,"['high', 'fever', 'body ache']"
22,My whole body feels weak and I’m coughing dryly.,flu,"['whole body', 'weak']"
23,Severe headache with chills and fatigue.,flu,"['severe', 'headache', 'chill']"
24,I feel extremely tired and feverish.,flu,"['tired', 'fever']"
25,My throat hurts and I have body pain.,flu,"['throat', 'hurts']"
26,I’ve been shivering and coughing with fever.,flu,"['shivering', 'coughing']"
