input_text,target_text
I have fever and headache,You might have flu or viral infection. Rest and drink fluids.
I have stomach pain after eating,You may have indigestion. Avoid spicy food and drink water.
I have chest pain and dizziness,These may be heart-related issues. Please seek medical help immediately.
I have mild cough and sore throat,It could be a common cold. Stay hydrated and rest.
I feel anxious and can't sleep,You may be experiencing anxiety. Try deep breathing or talk to someone you trust.
I have a runny nose and sneezing,It may be allergies or a cold. Take antihistamines if necessary.
My stomach is bloated and I feel gassy,You might be suffering from bloating or indigestion. Avoid gas-forming foods.
I feel extremely tired all the time,This could be due to stress, sleep deprivation, or an underlying health issue. Consider seeing a doctor.
I have severe back pain and muscle weakness,It might be a sign of strain or a muscle injury. Rest and apply heat or cold.
I have shortness of breath and tightness in my chest,This could be a sign of a serious condition. Seek medical attention immediately.
I have swollen feet and ankles,This might indicate fluid retention or circulatory issues. Keep your feet elevated and monitor your condition.
I have a sore throat and fever,You could have a bacterial or viral infection. Drink warm fluids and get plenty of rest.
I feel nauseous and have stomach cramps,This could be a stomach virus or food poisoning. Stay hydrated and avoid solid foods for a while.
I am coughing up blood,This could be a sign of a serious respiratory condition. Seek medical attention immediately.
I have a headache and neck stiffness,These may be signs of meningitis. Get medical help immediately.
My skin feels itchy and dry,You might be dealing with dry skin or eczema. Use moisturizing lotions and avoid harsh soaps.
I have a constant ringing in my ears,This could be tinnitus. If persistent, consult a healthcare professional.
I have cold sweats and dizziness,This could indicate low blood sugar or dehydration. Eat something light and drink water.
I have swollen lymph nodes,This might be due to infection or inflammation. If it persists, see a healthcare provider.
I have itchy eyes and a runny nose,These are symptoms of seasonal allergies. Consider using allergy medication.
I have a rash and fever,It could be a sign of a viral infection like measles or chickenpox. Consult a healthcare provider.
I feel lightheaded and my heart is racing,These symptoms might suggest anxiety or an underlying heart condition. Seek medical advice if necessary.
